scenario,pi1,rep,scheme,d1,r1,ok,n_with_fail_b,n_cross_c,a0,a1,lam,q,log_xi,se,lo,hi,log_xi_true
S1-connector,0.5,16,a,0,10,1,9,8,1.7413139874692742,0.9523743686731378,5235.435349050537,0.10315833841839632,15.911810773300106,,,,11.692740998710773
S1-connector,0.5,16,b,0,10,1,9,8,-1.2291529284798857,1.4988161748139432,3.2084016601126555,0.3921984075452981,11.708714394817436,15.438980906020536,-18.551132138984386,41.96856092861926,11.692740998710773
S1-connector,0.5,16,c,0,10,1,9,8,-2.132055875353127,1.6646311405250627,0.38936504785161735,0.4779065262006262,11.485065947762607,2.057246589580374,7.45293672486722,15.517195170657994,11.692740998710773
S1-connector,0.5,17,a,0,10,1,9,10,-9.02937720820617,10.424551162559801,8.398788268267891,0.5022659966293489,24.748967674742097,23.071661876871513,-20.470658667411854,69.96859401689605,11.692740998710773
S1-connector,0.5,17,b,0,10,1,9,10,-7.564704859355467,3.760529616981552,0.0001234098040921298,0.9246722289799005,11.84742306104294,882.452148253838,-1717.7270055964798,1741.4218517185657,11.692740998710773
S1-connector,0.5,17,c,0,10,1,9,10,-2.1844218871235523,1.7989078962563254,0.32377406587922614,0.48383172231514376,11.448909633091134,1.9401801650425794,7.6462263860887,15.251592880093568,11.692740998710773
S1-connector,0.5,18,a,0,10,1,9,9,-2.135587019167107,1.28667723610906,0.6390019316585991,0.39642810314770094,13.879430013080745,,,,11.692740998710773
S1-connector,0.5,18,b,0,10,1,9,9,-11.999580099134342,8.452396532957103,0.00012341274751352037,0.9103036491132077,16.918143779044158,,,,11.692740998710773
S1-connector,0.5,18,c,0,10,1,9,9,-1.3346432388195666,1.888083148872599,3.240537674004407,0.3638492791271098,12.921904237614818,3.061315293265321,6.921836517493116,18.92197195773652,11.692740998710773
S1-connector,0.5,19,a,0,10,1,7,10,-1.458031548193068,3.5309388637317705,508.4809146664489,0.24276003066425506,20.006647882459944,,,,11.692740998710773
S1-connector,0.5,19,b,0,10,1,7,10,-2.3247887841311634,2.4970422511806785,0.5769329280413854,0.4147093831788465,13.734580328479089,16.13157885473383,-17.882733240567113,45.351893897525294,11.692740998710773
S1-connector,0.5,19,c,0,10,1,7,10,-2.1427047187366015,2.0457183135504233,0.6147714842647874,0.44395935519288404,12.408543381167446,2.607731763750985,7.297483042874402,17.51960371946049,11.692740998710773
S1-connector,0.5,24,a,0,10,1,9,8,-6.112825323589547,10.594336160208265,2720.5672107544938,0.14233394665828833,66.84289303883276,,,,11.692740998710773
S1-connector,0.5,24,b,0,10,1,9,8,-7.63550703401707,3.979297329923962,0.0001234098046471517,0.9040011591026921,12.197475094198522,410.4986240767772,-792.3650437995316,816.7599939879285,11.692740998710773
S1-connector,0.5,24,c,0,10,1,9,8,-1.434681915282932,1.3515581318233556,0.8812215432504192,0.4317209763704577,11.063903417180793,2.2096073622707118,6.73315256715565,15.394654267205937,11.692740998710773
S1-connector,0.5,25,a,0,10,1,9,9,-4.1810272542968026,6.9164320558898105,497.5637121800839,0.25272455869873794,30.001296144008105,426.70964567638583,-806.3342412375557,866.3368335255718,11.692740998710773
S1-connector,0.5,25,b,0,10,1,9,9,-9.609727988303248,6.8277909512635,0.0001234098041571526,0.8636385276427279,15.063608509168555,55.45149993501098,-93.6193342521781,123.74655127051523,11.692740998710773
S1-connector,0.5,25,c,0,10,1,9,9,-2.0329560039027363,1.9870516838516887,0.61320179114315,0.4425073732210036,12.191953403414216,2.3005153892822117,7.6830260945409385,16.700880712287493,11.692740998710773
S1-connector,0.5,26,a,0,10,1,8,10,1.3080335956495208,1.518300082074334,6417.410022420595,0.1040722037224609,20.00880343561577,,,,11.692740998710773
S1-connector,0.5,26,b,0,10,1,8,10,-3.4866098721360865,2.8889238584313297,0.07901724727483667,0.5239219835222899,13.098007040570009,10.956742307580845,-8.37681327017473,34.57282735131475,11.692740998710773
S1-connector,0.5,26,c,0,10,1,8,10,-1.8672613208970381,1.699875595563363,0.613031261305455,0.4499274023896315,11.606936227007562,2.298222152066506,7.102503580485075,16.11136887353005,11.692740998710773
S1-connector,0.5,27,a,0,10,1,10,7,-2.0528745335971865,1.2737824997119565,0.645735531730829,0.36784309478676985,14.725566119798863,,,,11.692740998710773
S1-connector,0.5,27,b,0,10,1,10,7,-9.20168207202859,11.355681799602927,2019.4192548005187,0.1643328879663061,76.6911546706189,,,,11.692740998710773
S1-connector,0.5,27,c,0,10,1,10,7,-1.4282380975948141,1.8121782560970707,2.707267255824811,0.3746500780271652,12.799534456785894,2.9732016930357092,6.972166219662391,18.626902693909397,11.692740998710773
S1-connector,0.5,4,a,0,10,1,8,9,-4.786512561871584,9.545383341420337,8103.0832455626405,0.08445431050122736,96.94813933346411,1804.0217377623355,-3438.8694940080754,3632.7657726750035,11.692740998710773
S1-connector,0.5,4,b,0,10,1,8,9,-2.1890411455286145,1.6973776507438487,0.247058494111184,0.48640233004711253,11.384631066787607,7.732195653696486,-3.770193935874646,26.539456069449862,11.692740998710773
S1-connector,0.5,4,c,0,10,1,8,9,-1.2037610510577785,1.3112459919342565,1.4972218704784368,0.40656315241695024,11.185441299221546,2.295043730912739,6.687238243688142,15.68364435475495,11.692740998710773
S1-connector,0.5,5,a,0,10,1,10,9,-2.4500267793923385,6.258150064533962,7055.743575334981,0.11485732160138948,50.941321934303325,,,,11.692740998710773
S1-connector,0.5,5,b,0,10,1,10,9,-6.666169860156532,2.9131790014519443,0.00012340980418885572,0.9242192421395706,10.86381887734636,987.0543255638215,-1923.727110012217,1945.4547477669098,11.692740998710773
S1-connector,0.5,5,c,0,10,1,10,9,-1.7106095067725566,1.2319117139319367,0.32534827807875594,0.48593934523619375,10.36688431111699,2.095852690414117,6.259088521003946,14.474680101230035,11.692740998710773
S1-connector,0.5,6,a,0,10,1,8,7,1.5242501721128585,0.6552097775488317,1012.2522268864425,0.15603274217396262,11.812782696833313,68.97236178686347,-123.37056233408579,146.99612772775242,11.692740998710773
S1-connector,0.5,6,b,0,10,1,8,7,-2.0817686716656674,1.7756950186374025,0.4391068166775355,0.46693962417586055,11.648048629787494,8.657865425103825,-5.321055786410566,28.617153045985553,11.692740998710773
S1-connector,0.5,6,c,0,10,1,8,7,-1.749415359479765,1.6563017911666487,0.7991708250748447,0.43574868411555207,11.71571636676,2.209087687639739,7.385984060295243,16.045448673224758,11.692740998710773
