scenario,pi1,rep,scheme,d1,r1,ok,n_with_fail_b,n_cross_c,a0,a1,lam,q,log_xi,se,lo,hi,log_xi_true
S1-connector,0.5,52,a,0,10,1,9,8,-5.088979321994778,3.8181686926569256,20.24267533238816,0.6464345313681343,13.133358011498078,,,,11.692740998710773
S1-connector,0.5,52,b,0,10,1,9,8,-8.160043576843465,4.664141928035378,0.0001234098042439755,0.8987507714370344,12.8569796536745,1.6921236445207704,9.540478253025134,16.17348105432387,11.692740998710773
S1-connector,0.5,52,c,0,10,1,9,8,-2.0679050880523127,1.800159454411323,0.4285698192241381,0.4621947051180689,11.735123372764159,0.8500952041385259,10.068967389222422,13.401279356305896,11.692740998710773
S1-connector,0.5,53,a,0,10,1,8,8,1.8370614008066926,-0.775195593426036,632.6838632202107,0.253302451149339,5.944454783450989,4.73666016746722,-3.3392285517902236,15.2281381186922,11.692740998710773
S1-connector,0.5,53,b,0,10,1,8,8,-6.122603748576673,1.7841911696595796,0.00012340980426153107,0.9455155307122931,10.023760948299714,0.6611981431858865,8.727836401010618,11.319685495588809,11.692740998710773
S1-connector,0.5,53,c,0,10,1,8,8,-2.0347737673200554,2.110581526082704,0.809867459571314,0.4318565654463708,12.508756341873127,0.8344988248468589,10.873168700032284,14.14434398371397,11.692740998710773
S1-connector,0.5,54,a,0,10,1,10,7,-2.342047165580234,1.2078513081175033,0.6489990161483323,0.4323661414206285,13.218716534871968,,,,11.692740998710773
S1-connector,0.5,54,b,0,10,1,10,7,-11.999999643035949,7.856917399571362,0.00012340980888490364,0.9778106719619062,15.75056200199716,33.52383374018008,-49.95494475246449,81.45606875645882,11.692740998710773
S1-connector,0.5,54,c,0,10,1,10,7,-1.6005699749220996,1.7339898751321905,1.716181538666605,0.4078664776614412,12.174891487823476,0.8567976405635481,10.495598970280028,13.854184005366925,11.692740998710773
S1-connector,0.5,55,a,0,10,1,9,9,-6.109978317797985,11.405159578312439,8103.083588202116,0.06909682186025952,137.64988998732397,,,,11.692740998710773
S1-connector,0.5,55,b,0,10,1,9,9,-0.11455876283681819,1.314797379009046,14.655730072347485,0.28104166479093984,12.315825149663818,1.9077662756319234,8.576671958505134,16.0549783408225,11.692740998710773
S1-connector,0.5,55,c,0,10,1,9,9,-1.6271053966085045,2.0533544162648947,1.7183799995756857,0.38685022107654504,12.907402659120766,0.9026275346762747,11.13828519970109,14.676520118540443,11.692740998710773
S1-connector,0.5,24,a,0,10,1,7,9,-2.039270973330998,1.2375660233446473,0.615458480003298,0.3798957420056074,14.21880068112464,,,,11.692740998710773
S1-connector,0.5,24,b,0,10,1,7,9,-9.07860511970467,11.944940038842311,8102.987848762826,0.06988298502668008,178.58141291581788,,,,11.692740998710773
S1-connector,0.5,24,c,0,10,1,7,9,-1.167905655933289,1.5400307108473976,2.9486100848926258,0.37981470772704945,11.918251213084798,0.8181000575369131,10.314804564562301,13.521697861607294,11.692740998710773
S1-connector,0.5,25,a,0,10,1,7,8,-1.4787621880202528,5.085786775327046,5266.706177531475,0.10271459570064588,47.502740044906886,,,,11.692740998710773
S1-connector,0.5,25,b,0,10,1,7,8,-3.411948217366616,2.2855780252594107,0.04511297670411802,0.5639441439240791,12.016828722322343,2.408719777258224,7.295824710046882,16.737832734597802,11.692740998710773
S1-connector,0.5,25,c,0,10,1,7,8,-1.545409854257092,1.9980916543411205,2.106513763481794,0.3749933854687213,13.099524145067372,0.9029707678829444,11.329733960924324,14.86931432921042,11.692740998710773
S1-connector,0.5,26,a,0,10,1,9,10,-0.18863297578652732,3.910351649015939,8103.083734948016,0.058018552071394815,61.83673678061943,,,,11.692740998710773
S1-connector,0.5,26,b,0,10,1,9,10,1.6193069001851574,0.8578394682517243,712.5394938710854,0.12008013281199885,14.470607752960488,3.2856535209543427,8.030845186212757,20.91037031970822,11.692740998710773
S1-connector,0.5,26,c,0,10,1,9,10,-1.2187485877556496,1.3281538544148441,1.4126096952370315,0.4107303858788358,11.106462108452515,0.8022527232834161,9.534075664317841,12.678848552587189,11.692740998710773
S1-connector,0.5,27,a,0,10,1,9,10,-2.0528745335971865,1.2737824997119565,0.645735531730829,0.36784309478676985,14.725566119798863,,,,11.692740998710773
S1-connector,0.5,27,b,0,10,1,9,10,-8.982051657920984,11.726874503932235,8103.080876742095,0.0886347726499153,139.7109547729062,,,,11.692740998710773
S1-connector,0.5,27,c,0,10,1,9,10,-0.9886263822879936,1.6278241142223568,3.908482084679739,0.3502726361316305,12.406879688072012,0.9442386997821914,10.556205843689987,14.257553532454036,11.692740998710773
S1-connector,0.5,44,a,0,10,1,8,10,-2.8829733068823877,7.264366895129838,8103.0833529945785,0.06765163604511991,92.88800064646773,,,,11.692740998710773
S1-connector,0.5,44,b,0,10,1,8,10,-1.272041948221244,2.0568174422287413,3.098280498346582,0.3379623468378049,13.71746707488044,2.914826432970001,8.004512245073885,19.430421904686995,11.692740998710773
S1-connector,0.5,44,c,0,10,1,8,10,-2.007760967861356,1.9597401205002698,0.7350413400196549,0.4398439300014884,12.214131440416347,0.9077118518339453,10.435048902481656,13.993213978351038,11.692740998710773
