scenario,pi1,rep,scheme,d1,r1,ok,n_with_fail_b,n_cross_c,a0,a1,lam,q,log_xi,se,lo,hi,log_xi_true,se_finite
S1-connector,0.5,0,a,0,10,1,10,9,-2.1887382193348417,1.213364351247928,0.6371917175837173,0.4091135228936746,13.58324937317563,,,,11.692740998710772,
S1-connector,0.5,0,b,0,10,1,10,9,-11.9714466268678,10.299473748913089,0.049864148865571,0.6776692384041249,22.684573111668627,11.546965353915542,0.05293688726236567,45.31620933607489,11.692740998710772,1.0
S1-connector,0.5,0,c,0,10,1,10,9,-1.5766264649702089,2.0283130831723497,2.129426810594459,0.3773527884812154,13.103619992459516,,,,11.692740998710772,0.0
S1-connector,0.5,1,a,0,10,1,9,10,-2.158011909282446,1.2940135530098145,0.6312213442506521,0.3901939804169102,14.160085562605255,,,,11.692740998710772,
S1-connector,0.5,1,b,0,10,1,9,10,-11.99984494040208,8.319751703051873,0.0001234098104001,0.9264680822854302,16.62325252943909,,,,11.692740998710772,0.0
S1-connector,0.5,1,c,0,10,1,9,10,-1.7550413592369882,2.1652742573328743,1.8877150898275143,0.3888920650569509,13.183080556809603,0.844352499889945,11.52818006676895,14.837981046850256,11.692740998710772,1.0
S1-connector,0.5,2,a,0,10,1,7,7,-2.098000843169224,1.1803305536672828,0.6171284021349563,0.3614556583090402,15.112931089385146,,,,11.692740998710772,
S1-connector,0.5,2,b,0,10,1,7,7,-9.34520938605063,11.845811795251429,8099.681543076577,0.115196975089526,110.6487955141844,,,,11.692740998710772,0.0
S1-connector,0.5,2,c,0,10,1,7,7,-2.568784063018298,2.1493681853745494,0.3821278628723631,0.4796556395709602,12.38592371884372,,,,11.692740998710772,0.0
S1-connector,0.5,3,a,0,10,1,10,7,-1.9210756081057856,1.0084220445394934,0.6329040285279407,0.3999633213839297,13.199221378557006,,,,11.692740998710772,
S1-connector,0.5,3,b,0,10,1,10,7,-8.702308338559774,11.460928271766054,8103.083920624997,0.0878795727224817,137.72831288611306,,,,11.692740998710772,0.0
S1-connector,0.5,3,c,0,10,1,10,7,-1.0454391822321685,1.575827683648901,4.36454043937316,0.3585208132734229,12.292920875955046,,,,11.692740998710772,0.0
S1-connector,0.5,40,a,0,10,1,7,9,-2.2544345737765497,1.292532999582403,0.6119326682856007,0.426105159144541,13.199200203484072,,,,11.692740998710772,
S1-connector,0.5,40,b,0,10,1,7,9,-9.116159316470426,11.93351016777677,8103.083926853642,0.0759975405412173,164.70738820485207,28.506606634682058,108.83546587942467,220.57931053027946,11.692740998710772,1.0
S1-connector,0.5,40,c,0,10,1,7,9,-2.000347656841728,1.9919293516903376,0.8215118273092133,0.4317463415650334,12.430035706280847,0.7802084139701715,10.900855314464193,13.959216098097501,11.692740998710772,1.0
S1-connector,0.5,41,a,0,10,1,7,9,-2.266363133282201,1.4213339010865982,0.625979016568524,0.4223747812314405,13.34572546635152,,,,11.692740998710772,
S1-connector,0.5,41,b,0,10,1,7,9,-9.201532765618122,11.939460487605723,8103.0833874211485,0.0866188079237784,145.4964595696636,,,,11.692740998710772,0.0
S1-connector,0.5,41,c,0,10,1,7,9,-2.193602704415081,2.50766725650697,1.3935227211209955,0.4015258942537917,13.878800184372617,,,,11.692740998710772,0.0
