scenario,pi1,scheme,scheme_label,reps,d1_bar,r1_bar,failfrac_b,crossfrac_c,se_finite_rate,bias_a0,rmse_a1,rmse_q,bias_log_xi,rmse_log_xi,mdae_log_xi,p90_ae_log_xi,cover95
S1-connector,0.5,a,(a) discard (PC-FCT),200,0.015,9.985,,,0.405,-0.7114877171521985,5.150041398444932,0.2926406985934393,26.627690049000552,45.350356182655425,17.30129043395374,70.80990275492897,1.0
S1-connector,0.5,b,(b) SLT re-test to failure,200,0.015,9.985,0.8712777777777778,,0.925,-2.127857815456027,3.0048537050637796,0.355646545838365,6.601368682380184,27.744370602116273,0.8394847898572566,4.296178257552282,1.0
S1-connector,0.5,c,(c) SLT-D degradation,200,0.015,9.985,,0.8661666666666668,1.0,0.04972725456690896,0.3242934943249064,0.0497847757247739,0.10216358159436865,0.8948443654036765,0.58836536494948,1.4001783371894714,1.0
S2-moderate,0.25,a,(a) discard (PC-FCT),200,10.545,1.965,,,0.815,-1.5543722833066016,5.659873343368595,0.3642637584966643,16.00800916570336,26.963028173422888,5.219007112359789,49.75936765180505,1.0
S2-moderate,0.25,b,(b) SLT re-test to failure,200,10.545,1.965,1.0,,0.775,0.42031341424602275,3.849511489418046,0.341758914313601,1.0238724629365605,3.393198396957672,1.0147623753465416,4.136621598160297,1.0
S2-moderate,0.25,c,(c) SLT-D degradation,200,10.545,1.965,,1.0,0.99,0.3357566734481523,1.07265774076112,0.17375650014469404,0.7204587710945028,2.9292485652348392,0.5200223409906073,1.8098392193398483,1.0
S2-moderate,0.5,a,(a) discard (PC-FCT),200,10.315,4.605,,,0.865,-1.5657554219780168,4.864211487045767,0.3706415039650689,12.042041852997556,24.09077388253589,3.253200013168118,43.865327505536555,1.0
S2-moderate,0.5,b,(b) SLT re-test to failure,200,10.315,4.605,1.0,,0.79,0.34310746935710057,3.2297982565202,0.34462920724730917,0.3443471004609569,1.591318307423755,0.6998417420859226,2.4166497095060566,1.0
S2-moderate,0.5,c,(c) SLT-D degradation,200,10.315,4.605,,1.0,1.0,-0.011465232244485701,0.5509136019921356,0.11897787631289292,0.03952668350981209,0.5042425287091615,0.32431890728112567,0.8351750292872102,1.0
S2-moderate,0.75,a,(a) discard (PC-FCT),200,10.47,6.8,,,0.795,-1.2280744592373947,4.998692025801861,0.3768725851186207,12.482071601165696,24.332002714178362,3.798425971700461,46.69514328394616,1.0
S2-moderate,0.75,b,(b) SLT re-test to failure,200,10.47,6.8,1.0,,0.795,0.33688941923181415,3.504505173214115,0.3474272827813053,0.3803468486851325,1.6431829453080202,0.6717320375338547,2.6336533004385294,1.0
S2-moderate,0.75,c,(c) SLT-D degradation,200,10.47,6.8,,1.0,1.0,-0.11584578964655634,0.4609875727243831,0.1268888101643614,-0.03972891111529106,0.4669936930762457,0.3159412313423964,0.7547017939851679,1.0
S3-severe,0.5,a,(a) discard (PC-FCT),200,0.0,15.0,,,0.0,-0.09274846235752277,0.16088993832093212,0.02082610563158548,0.5957846874236439,0.6872970031315819,0.5866778958359369,1.0169201635397995,
S3-severe,0.5,b,(b) SLT re-test to failure,200,0.0,15.0,0.016,,0.835,-1.3678772979630915,3.1383032137932725,0.18530749398993243,3.8461416743502146,11.469490294755332,0.2214831654074496,17.17343900119982,0.7844311377245509
S3-severe,0.5,c,(c) SLT-D degradation,200,0.0,15.0,,0.011666666666666667,1.0,-0.008103220079342277,0.1541871966758112,0.03005573545136886,-0.006995122148726631,0.40372203653577604,0.29261991810924837,0.6747995147212469,1.0
