scenario,pi1,scheme,scheme_label,reps,d1_bar,r1_bar,failfrac_b,crossfrac_c,se_finite_rate,bias_a0,rmse_a1,rmse_q,bias_log_xi,rmse_log_xi,mdae_log_xi,p90_ae_log_xi,cover95
S1-connector,0.5,a,(a) discard (PC-FCT),1000,0.02,9.98,,,0.446,-0.6333728250501727,5.191478116190234,0.3013669549504697,33.435083186722814,52.854796248480795,20.586910011963713,93.49999669572047,0.9977578475336323
S1-connector,0.5,b,(b) SLT re-test to failure,1000,0.02,9.98,0.8680000000000001,,0.932,-1.6342779488255252,3.21495150015102,0.3398852819217674,9.255116262572784,34.409210104766224,0.8733013250683213,4.744749356968937,0.9109442060085837
S1-connector,0.5,c,(c) SLT-D degradation,1000,0.02,9.98,,0.867788888888889,1.0,0.00529215560841001,0.3464630656853294,0.05156473365083493,0.0937677555812039,0.9203333571959806,0.6093458076955276,1.4782179702504858,0.938
S2-moderate,0.25,a,(a) discard (PC-FCT),1000,10.408,2.028,,,0.883,-1.56336351997951,5.091671190540624,0.3589817754744366,11.616727541580891,23.375041295948346,3.5508901023414516,45.25261520910402,1.0
S2-moderate,0.25,b,(b) SLT re-test to failure,1000,10.408,2.028,1.0,,0.833,0.30522675660635645,3.4891419695473167,0.3374645389061662,0.7220407954758824,2.0848799863169805,0.8990988689574744,3.6323091134598187,0.9423769507803121
S2-moderate,0.25,c,(c) SLT-D degradation,1000,10.408,2.028,,1.0,0.993,0.3147334253839287,0.8949964761439996,0.16653638368508683,0.2815123225080675,1.0020859273679112,0.4250973932893123,1.537862512798491,0.878147029204431
S2-moderate,0.5,a,(a) discard (PC-FCT),1000,10.599,4.455,,,0.921,-1.3822509033217298,5.088953358365997,0.3598520564247705,11.571083789974196,23.283167129079537,3.8103095996666383,44.46628675063793,1.0
S2-moderate,0.5,b,(b) SLT re-test to failure,1000,10.599,4.455,1.0,,0.789,0.45921881942771514,3.4868775611649707,0.33952606458913404,0.4375663782976786,1.74941425313485,0.6542789169759153,2.8552680687209175,0.9201520912547528
S2-moderate,0.5,c,(c) SLT-D degradation,1000,10.599,4.455,,1.0,1.0,0.008072507608136936,0.5351693336616823,0.1296026280513144,0.027835408845160194,0.5504778896318018,0.3349667515977437,0.8789720095196837,0.926
S2-moderate,0.75,a,(a) discard (PC-FCT),1000,10.39,6.834,,,0.92,-1.4162370429065585,5.100912969563002,0.36828283382808547,12.666382340518423,24.80867660377571,3.735154466112559,46.80691729584916,0.9989130434782608
S2-moderate,0.75,b,(b) SLT re-test to failure,1000,10.39,6.834,1.0,,0.79,0.28522951315324097,3.8091401058407075,0.34116482382154734,0.5223651279134569,1.874251265121725,0.6449804160602284,4.017975248919348,0.9405063291139241
S2-moderate,0.75,c,(c) SLT-D degradation,1000,10.39,6.834,,1.0,0.999,-0.07167411921922784,0.45980166840704667,0.1289342984966735,-0.0047848928720379096,0.4714630126218594,0.30455164507674315,0.7698685939551749,0.9529529529529529
S3-severe,0.5,a,(a) discard (PC-FCT),1000,0.0,15.0,,,0.005,-0.08972159836966953,0.16632954193768226,0.020516745755116094,0.5890756414484621,0.681028029789301,0.5623794815432248,1.0266543677574977,1.0
S3-severe,0.5,b,(b) SLT re-test to failure,1000,0.0,15.0,0.0134,,0.846,-1.2973274648727213,2.8010092662828763,0.18644975077838077,2.7253396918633688,8.87527569070825,0.24065059750087947,10.433910561221937,0.7789598108747045
S3-severe,0.5,c,(c) SLT-D degradation,1000,0.0,15.0,,0.012266666666666665,1.0,0.0167242529990268,0.17036548059118337,0.0327669489636265,0.02973123259148701,0.44106028312778595,0.27868235156715393,0.7369027669432882,0.936
